name,domain
ibm,ibm.com
accenture,accenture.com
ey,ey.com
hp,hpe.com
walmart,walmartcareers.com
microsoft,microsoft.com
at&t,att.com
united states air force,airforce.com
pwc,pwc.com
wells fargo,wellsfargo.com
deloitte,deloitte.com
citi,citigroup.com
boa,bankofamerica.com
chase,jpmorganchase.com
us navy,navy.com
amazon,amazon.com
apple,apple.com
siemens,siemens.com
oracle,oracle.com
nokia,nokia.com
hsbc,hsbc.com
google,google.com
united states postal service,usps.com
mcdonald's corporation,aboutmcdonalds.com
ericsson,ericsson.com
nhs,
boeing,boeing.com
vodafone,vodafone.com
ford,ford.com
intel corporation,intel.com
cisco,cisco.com
pepsi,pepsico.com
target,target.com
shell,shell.com
hcl,hcltech.com
ups,ups.com
pfizer,pfizer.com
unilever,unilever.com
nestle,nestle.com
unitedhealth,unitedhealthgroup.com
huawei,huawei.com
dell,dell.com
gsk,gsk.com
honeywell,honeywell.com
sap,sap.com
schlumberger,slb.com
lockheed martin,lockheedmartin.com
abb,abb.com
starbucks,starbucks.com
morgan stanley,morganstanley.com
the home depot,homedepot.com
independiente,ailinsemprini.com.ar
novartis,novartis.com
johnson & johnson,jnj.com
bp,bp.com
schneider electric,schneider-electric.com
state farm,statefarm.com
dhl,dhl.com
philips,philips.com
ubs,ubs.com
procter & gamble,pg.com
walgreens,walgreens.com
lowe,lowes.com
dell,dellemc.com
tech mahindra,techmahindra.com
verizon wireless,verizonwireless.com
sanofi,sanofi.com
bnp paribas,bnpparibas.com
sodexo,sodexo.com
deutsche bank,db.com
tencent,tencent.com
j.p. morgan,jpmorgan.com
verizon,verizon.com
kpmg,kpmg.com
orange,orange.com
linkedin,linkedin.com
barclays,barclays.com
facebook,facebook.com
adp,adp.com
medtronic,medtronic.com
abbott,abbott.com
chevron,chevron.com
roche,roche.com
american express,americanexpress.com
samsung,samsung.com
macy's,macysjobs.com
thomson reuters,tr.com
ministerio de educación,
avon,avoncompany.com
cgi,cgi.com
cvs health,cvshealth.com
halliburton,halliburton.com
atos,atos.net
csc,csc.com
merck,merck.com
kpmg,beaconpartners.com
banco santander,santander.com
scotiabank,scotiabank.com
dxc technology,dxc.technology
johnson controls,johnsoncontrols.com
posteamos.com,posteamos.com
allstate,al.st
petrobras,petrobras.com.br
